id,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_cond,wood_deck_sf,mo_sold,yr_sold,saleprice,house_age,with_porch,remod/add,big_house,exterior
807,70,RL,120.0,10.181157167204903,0,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,7,1880,Gable,None,0.0,4,TA,PConc,0,0,None,0.0,0.0,5,7.161622002939187,6.591673732008658,7.6093665379542115,0.0,1,0,4,3,1,3,Attchd,Unf,576.0,TA,0.0,6,2009,11.782952602183288,4.867534450455582,0,1,0,Wood
1177,160,FV,24.0,7.880804344674901,0,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,Gable,BrkFace,6.124683390894205,4,TA,PConc,4,1,GLQ,6.70196036600254,4.997212273764115,5,6.870053411798126,6.470799503782602,7.382746449738912,1.0,2,1,3,4,0,0,Detchd,Unf,480.0,TA,5.135798437050262,12,2008,12.206072645530174,2.302585092994046,0,1,0,Metal
1480,20,RL,74.0,9.172430798902962,0,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,Gable,None,0.0,4,TA,PConc,4,3,GLQ,3.2188758248682006,7.191429330036379,5,7.216709486709457,0.0,7.216709486709457,0.0,2,0,3,4,0,0,Attchd,RFn,610.0,TA,0.0,6,2008,12.170445467887022,0.6931471805599453,1,0,0,Vinyl
324,20,RL,93.0,9.221774749601845,0,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,5,2004,Gable,None,0.0,3,TA,PConc,5,3,Unf,0.0,7.266128779556451,5,7.266128779556451,0.0,7.266128779556451,0.0,2,0,3,4,0,0,Attchd,RFn,624.0,TA,0.0,3,2010,12.063932878369052,1.9459101490553132,0,1,0,Vinyl
1311,70,RM,34.0,8.427706024914702,0,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,5,1916,Gable,None,0.0,3,TA,BrkTil,3,1,Unf,0.0,6.437751649736401,2,6.437751649736401,6.580639137284949,7.20414929203594,0.0,1,0,4,3,0,0,Detchd,Unf,513.0,Fa,0.0,5,2008,11.49272275765271,4.532599493153256,1,1,0,Aesbestos
770,20,RL,80.0,9.084436955087027,0,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,6,1963,Gable,None,0.0,3,TA,PConc,3,1,Rec,6.480044561926653,6.154858094016418,3,7.022868086082641,0.0,7.022868086082641,1.0,1,0,3,3,0,0,Detchd,Unf,480.0,TA,0.0,6,2009,11.842229212112828,3.8501476017100584,1,0,0,Vinyl
2063,20,RL,71.0,9.011645501064283,0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,5,1977,Gable,BrkFace,5.003946305945459,3,TA,CBlock,3,1,Unf,0.0,6.493753839851686,5,7.1592919047975645,0.0,7.1592919047975645,0.0,1,1,3,3,1,3,Attchd,RFn,528.0,TA,4.9344739331306915,4,2007,11.874090314181814,3.4339872044851463,0,0,0,Wood
69,60,FV,72.0,9.0642735958414,0,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,Gable,None,0.0,3,TA,PConc,4,2,GLQ,3.2188758248682006,6.597145701886651,5,6.639875833826536,6.664409020350408,7.344719054149673,0.0,2,1,3,4,0,0,Attchd,Unf,614.0,TA,5.135798437050262,6,2010,12.279323107269766,0.6931471805599453,1,0,0,Vinyl
2062,20,RL,109.0,9.073947747070628,0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,Gable,None,0.0,3,TA,CBlock,4,1,BLQ,6.20050917404269,5.998936561946683,4,6.796823718274855,0.0,6.796823718274855,0.0,1,0,3,3,1,1,Attchd,Fin,450.0,TA,0.0,5,2007,11.76756768334381,3.6888794541139363,0,0,0,Vinyl
351,120,RL,40.0,8.642062173462106,1,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,2000,Gable,None,0.0,4,TA,PConc,4,1,GLQ,7.055312843339752,5.840641657373398,5,7.414572881350589,0.0,7.414572881350589,1.0,2,0,2,5,1,5,Attchd,Fin,499.0,TA,5.3612921657094255,10,2009,12.535376392672774,2.302585092994046,1,0,0,Mix
2393,60,RL,103.0,9.462498888358917,1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,Gable,None,0.0,4,TA,PConc,5,3,Unf,0.0,7.098375638590786,5,7.098375638590786,6.951772164398911,7.720461694599722,0.0,2,1,3,5,1,4,Attchd,Fin,575.0,TA,5.497168225293202,7,2006,12.748783489541202,0.6931471805599453,1,1,0,Mix
12,20,RL,0.0,8.984818995876008,1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,Gable,None,0.0,3,Gd,PConc,4,1,ALQ,6.841615476477592,5.455321115357702,5,7.080026499922591,0.0,7.080026499922591,1.0,2,0,3,3,0,0,Attchd,Fin,420.0,TA,6.182084906716632,3,2010,12.128111104060462,2.9444389791664403,1,1,0,Wood
2339,190,RL,100.0,10.453081864230466,0,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,Hip,None,0.0,3,TA,CBlock,3,2,Rec,6.963189985870238,0.0,3,6.963189985870238,0.0,6.963189985870238,1.0,1,0,3,3,0,0,Attchd,Fin,572.0,TA,5.579729825986222,1,2006,11.884489021402711,3.9512437185814275,0,0,0,Wood
624,20,RL,92.0,9.266153436795395,1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1961,Hip,BrkFace,1.3862943611198906,3,TA,CBlock,3,1,Rec,7.180069874302796,4.955827057601261,5,7.282073658093465,0.0,7.282073658093465,1.0,2,0,3,3,1,3,Attchd,RFn,530.0,TA,0.0,4,2009,12.141534124392603,3.8918202981106265,1,0,0,Metal
86,20,RL,65.0,9.042040056544483,0,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,8,1965,Gable,None,0.0,3,Gd,CBlock,3,1,GLQ,6.317164686747284,5.41610040220442,5,6.796823718274855,0.0,6.796823718274855,1.0,1,0,3,3,1,4,Detchd,Unf,336.0,TA,6.0330862217988015,4,2010,11.83862560460953,3.828641396489095,1,1,0,Metal
1534,50,RL,0.0,9.367429587218957,1,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,Gable,None,0.0,3,TA,CBlock,3,1,BLQ,6.408528791059498,5.820082930352362,5,7.143617602704121,6.513230110912307,7.569927655242652,0.0,2,0,4,4,1,4,Detchd,Unf,240.0,TA,0.0,7,2008,12.196022309676673,4.276666119016055,1,1,0,Wood
2243,190,C (all),75.0,9.018089684104343,0,Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,Gable,None,0.0,3,Gd,CBlock,3,1,Unf,0.0,6.86484777797086,2,6.942156705699469,6.86484777797086,7.596894438144544,0.0,2,0,4,3,0,0,None,None,0.0,None,0.0,6,2007,11.691908120498669,4.727387818712341,1,1,0,Vinyl
1957,50,RL,60.0,8.99528899055931,0,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,7,1949,Gable,None,0.0,3,Gd,CBlock,3,2,Unf,0.0,6.511745329644728,5,6.511745329644728,5.53338948872752,6.829793737512425,0.0,1,0,3,3,1,1,Detchd,Unf,576.0,TA,0.0,7,2007,11.719126295554126,4.07753744390572,0,1,0,Metal
380,20,RL,80.0,9.169622538697624,0,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,5,1981,Hip,None,0.0,4,TA,PConc,4,1,ALQ,7.007600613951853,7.259116128097101,3,7.83399634170946,0.0,7.83399634170946,1.0,2,1,4,4,1,4,Attchd,Fin,542.0,TA,6.163314804034641,7,2009,12.535376392672774,3.367295829986474,1,0,0,Brick
2860,70,RL,0.0,9.344521553442203,1,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,7,1929,Gable,None,0.0,3,TA,PConc,4,1,Unf,0.0,6.675823221634848,2,6.675823221634848,6.587550014824796,7.325148957955575,0.0,1,0,3,4,2,4,Detchd,Unf,400.0,TA,0.0,6,2006,12.345834587905333,4.356708826689592,0,1,0,Brick
2517,120,RL,30.0,9.164296433474776,1,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1995,Hip,None,0.0,4,Gd,PConc,4,3,LwQ,6.082218910376446,0.0,5,7.3098814858247865,0.0,7.3098814858247865,1.0,1,1,2,5,1,4,Attchd,Fin,481.0,TA,0.0,4,2006,12.506177237980511,2.4849066497880004,1,1,0,Brick
1933,20,RL,60.0,9.301186055275759,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1952,Hip,None,0.0,3,TA,CBlock,3,1,ALQ,6.091309882077698,6.230481447578482,3,6.855408798609928,0.0,6.855408798609928,0.0,1,0,2,3,0,0,Detchd,Unf,410.0,TA,0.0,4,2007,11.736069016284437,4.02535169073515,1,0,0,Wood
820,20,RL,79.0,9.272187775302262,0,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2007,Hip,Stone,5.820082930352362,4,TA,PConc,5,4,GLQ,7.161622002939187,6.035481432524756,5,7.449498005382849,0.0,7.449498005382849,1.0,2,0,3,4,1,4,Attchd,RFn,826.0,TA,5.342334251964811,9,2009,12.601487417784837,1.0986122886681098,1,1,0,Vinyl
675,20,RL,80.0,9.105090961257085,1,HLS,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,Flat,BrkFace,4.418840607796598,3,TA,CBlock,4,4,Unf,0.0,5.081404364984463,2,7.04141166379481,0.0,7.04141166379481,0.0,1,0,2,3,1,4,Basment,RFn,384.0,TA,0.0,4,2009,11.639558115903595,3.9512437185814275,1,0,0,Wood
2910,160,RM,41.0,7.888334500738654,0,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,Gable,None,0.0,3,TA,PConc,3,1,ALQ,6.3080984415095305,3.6109179126442243,5,6.8308742346461795,6.311734809152915,7.297091005160418,0.0,2,0,4,3,1,3,Attchd,RFn,336.0,TA,4.653960350157523,7,2006,11.751942365440728,3.4011973816621555,1,0,0,Mix
21,20,RL,105.0,9.371778717853713,1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1977,Hip,BrkFace,6.175867270105761,3,TA,CBlock,4,1,BLQ,6.559615237493242,7.038783541388542,5,7.520234556474628,0.0,7.520234556474628,0.0,2,0,3,3,1,3,Attchd,RFn,546.0,TA,0.0,1,2010,12.154779351142624,3.5263605246161616,1,0,0,Wood
1873,20,RL,80.0,9.169622538697624,0,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,6,1973,Hip,BrkFace,5.771441123130016,3,TA,CBlock,3,1,ALQ,6.821107472256465,5.7899601708972535,2,7.1252830915107115,0.0,7.1252830915107115,0.0,1,1,3,3,1,3,Attchd,Unf,528.0,TA,0.0,9,2007,12.075394321888057,3.5553480614894135,0,0,0,Wood
2125,20,RL,60.0,9.039433419997483,2,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,7,1994,Gable,None,0.0,3,Gd,PConc,4,1,GLQ,6.042632833682381,6.3473892096560105,5,6.898714534329988,0.0,6.898714534329988,1.0,1,0,3,3,0,0,Detchd,Unf,384.0,TA,5.54907608489522,7,2007,11.891361900690473,2.6390573296152584,0,0,0,Vinyl
1489,20,RL,75.0,9.204121072162266,0,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,6,1965,Gable,None,0.0,4,TA,CBlock,3,1,BLQ,6.7226297948554485,4.919980925828125,4,7.136483208590247,0.0,7.136483208590247,1.0,1,1,3,3,0,0,Attchd,Fin,276.0,TA,6.602587892189336,6,2008,11.901583454762012,3.784189633918261,1,0,0,Wood
2383,20,RL,107.0,9.539068413863964,0,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,5,2006,Gable,None,0.0,5,TA,PConc,5,4,GLQ,7.234898420314831,6.53813982376767,5,7.638679823876112,0.0,7.638679823876112,1.0,2,1,2,5,1,4,Attchd,Fin,850.0,TA,5.37989735354046,9,2006,13.049792684569493,0.0,1,0,0,Vinyl
983,85,RL,0.0,9.116249448576587,1,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,1978,Gable,BrkFace,4.653960350157523,3,Gd,PConc,4,3,GLQ,7.001245622069476,0.0,5,7.01301578963963,0.0,7.01301578963963,1.0,1,0,1,4,1,3,Attchd,Fin,602.0,TA,5.717027701406222,7,2009,12.016726473799254,3.4657359027997265,1,0,0,Wood
1325,50,RM,81.0,9.405166749908611,0,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,1954,Gable,BrkFace,5.817111159963204,3,TA,BrkTil,3,1,Unf,0.0,6.957497370876951,5,6.957497370876951,6.61472560020376,7.493317248862145,0.0,2,0,4,3,0,0,Attchd,Unf,352.0,TA,0.0,11,2008,11.786762130599957,4.007333185232471,0,0,0,Metal
1378,20,RL,70.0,9.32375833901174,0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,Hip,None,0.0,3,TA,CBlock,3,1,Rec,6.810142450115136,4.90527477843843,5,6.947937068614969,0.0,6.947937068614969,1.0,1,0,3,3,0,0,Detchd,Unf,384.0,TA,0.0,2,2008,11.771436160121729,3.784189633918261,0,0,0,Wood
1537,70,RL,100.0,9.176886995716963,1,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,6,1935,Gable,Stone,3.713572066704308,3,TA,PConc,3,1,LwQ,5.351858133476067,5.988961416889864,3,6.891625897052253,6.792344427470809,7.535830462798367,0.0,1,1,4,3,2,4,Detchd,Fin,786.0,TA,0.0,6,2008,12.45712704000522,4.30406509320417,1,1,0,Brick
905,50,RL,60.0,9.305559638557117,0,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,1941,Gable,None,0.0,3,TA,CBlock,3,1,LwQ,6.013715156042802,5.056245805348308,5,6.892641641172089,6.431331081933479,7.380879035564116,0.0,2,0,3,3,0,0,Detchd,Unf,660.0,TA,0.0,7,2009,11.669929213779893,4.23410650459726,1,1,0,Wood
1532,70,RL,60.0,8.881975184248867,0,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,6,1931,Gable,None,0.0,3,Fa,BrkTil,4,1,Unf,0.0,6.655440350367647,3,6.747586526829315,6.480044561926653,7.315218389752975,0.0,1,1,3,3,1,4,Attchd,RFn,270.0,TA,0.0,2,2008,11.911701584927597,4.356708826689592,1,1,0,Mix
132,20,RL,80.0,9.202409001649903,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1954,Gable,Stone,4.709530201312334,3,TA,CBlock,3,1,Rec,5.872117789475416,6.023447592961033,3,6.96979066990159,0.0,6.96979066990159,1.0,1,0,3,3,0,0,Attchd,RFn,280.0,TA,0.0,2,2010,11.759785542901755,4.04305126783455,1,0,0,Wood
1078,160,RL,36.0,7.803435056952168,0,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,Gable,Stone,4.672828834461906,4,TA,PConc,4,1,Unf,0.0,6.639875833826536,5,6.639875833826536,6.760414691083428,7.394493107219038,0.0,2,1,2,4,0,0,BuiltIn,RFn,474.0,TA,0.0,10,2008,11.951180395901384,1.791759469228055,1,1,0,Vinyl
2511,160,FV,0.0,8.00603417874901,0,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,5,2000,Gable,BrkFace,6.2422232654551655,4,TA,PConc,4,1,GLQ,5.869296913133774,6.0014148779611505,5,6.645090969505644,6.6293632534374485,7.329749689041512,0.0,2,1,2,4,0,0,Detchd,Unf,440.0,TA,0.0,6,2006,12.01974306733868,1.9459101490553132,1,0,0,Metal
912,50,RL,65.0,8.962519832949532,0,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,1928,Gable,None,0.0,3,TA,BrkTil,3,1,BLQ,6.434546518787453,6.2166061010848646,3,7.192182058713246,6.483107351457199,7.591861714889934,1.0,2,0,4,4,2,3,Detchd,Unf,576.0,TA,6.068425588244111,12,2009,11.813030057420567,4.406719247264253,1,1,0,Wood
2351,60,RL,80.0,9.722744748855389,1,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,5,1978,Gable,BrkFace,5.220355825078324,3,TA,CBlock,4,1,BLQ,6.673297967767654,4.897839799950911,3,7.239214973779806,7.239214973779806,7.932003152361385,1.0,3,1,5,4,2,3,Attchd,RFn,564.0,TA,0.0,7,2006,12.429216196844383,3.367295829986474,1,0,0,Wood
330,160,RM,21.0,7.29776828253138,0,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,7,1970,Gable,None,0.0,3,TA,CBlock,3,1,GLQ,5.176149732573829,5.916202062607435,5,6.304448802421981,6.304448802421981,6.996681488176539,0.0,1,1,3,3,0,0,None,None,0.0,None,5.303304908059076,3,2010,11.238488619268468,3.713572066704308,1,0,0,Mix
2586,20,RL,75.0,9.227295812625597,0,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1951,Hip,BrkFace,6.259581464064923,3,TA,CBlock,3,1,Unf,0.0,5.37989735354046,3,7.362645270417825,0.0,7.362645270417825,0.0,1,1,2,4,1,4,Attchd,Unf,400.0,TA,0.0,6,2006,11.951180395901384,4.02535169073515,0,0,0,Wood
224,60,RL,80.0,9.144734614878189,0,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,7,1969,Gable,Stone,4.969813299576001,3,TA,CBlock,3,1,ALQ,5.918893854273146,5.680172609017068,3,6.498282149476434,6.536691597591305,7.210079628170788,0.0,1,1,4,3,0,0,Attchd,Fin,299.0,TA,5.940171252720432,3,2010,11.970350312009105,3.7376696182833684,1,0,0,Wood
98,160,FV,24.0,7.841885928984623,0,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,5,2004,Gable,None,0.0,4,TA,PConc,4,1,GLQ,5.910796644040527,5.25227342804663,5,6.398594934535208,6.398594934535208,7.0909098220799835,1.0,2,1,2,4,0,0,Detchd,RFn,480.0,TA,0.0,2,2010,11.915051671812877,1.9459101490553132,1,1,0,Metal
2565,20,RL,82.0,9.19917830726999,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,Gable,None,0.0,3,Gd,CBlock,3,1,BLQ,6.18826412308259,6.111467339502679,3,6.842683282238422,0.0,6.842683282238422,0.0,1,0,2,3,0,0,Attchd,Unf,240.0,TA,0.0,3,2006,11.703545824578878,3.970291913552122,1,1,0,Metal
1934,20,RL,68.0,8.980046316633132,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,7,1953,Hip,None,0.0,3,TA,CBlock,3,1,Rec,4.454347296253507,0.0,3,6.947937068614969,0.0,6.947937068614969,0.0,1,0,3,3,0,0,Attchd,Fin,293.0,TA,0.0,6,2007,11.820410164718188,4.007333185232471,0,0,0,Wood
997,60,RL,0.0,9.618402105931613,2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,5,1996,Gable,None,0.0,3,TA,PConc,4,1,Rec,4.9344739331306915,6.658011045870748,4,6.821107472256465,6.580639137284949,7.400620577371135,0.0,2,1,3,3,1,3,Attchd,Fin,386.0,TA,5.1298987149230735,11,2008,12.061046873479915,2.5649493574615367,1,0,0,Wood
64,60,RL,92.0,9.372884301161463,1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,Gable,BrkFace,5.855071922202427,4,TA,PConc,4,1,GLQ,6.263398262591624,6.444131256700441,5,7.060476365999801,7.009408932708637,7.7279755421055585,0.0,2,1,4,4,1,4,Attchd,Fin,671.0,TA,4.890349128221754,4,2010,12.577636201962656,2.4849066497880004,1,1,0,Vinyl
1799,60,FV,75.0,9.105090961257085,0,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,5,2007,Gable,None,0.0,4,TA,PConc,4,3,GLQ,4.174387269895637,7.02197642307216,5,7.077498053569231,7.2633296174768365,7.8674885686991285,0.0,2,1,4,5,1,4,BuiltIn,Fin,550.0,TA,5.342334251964811,8,2007,12.623061104072981,0.0,1,0,0,Mix
230,20,RL,0.0,9.9066326016802,1,Low,Inside,ClearCr,Norm,1Fam,1Story,7,7,1977,Hip,None,0.0,4,Gd,CBlock,4,4,ALQ,6.996681488176539,5.796057750765372,4,7.302496423727326,0.0,7.302496423727326,1.0,1,1,1,3,2,3,Attchd,RFn,690.0,TA,6.208590026096629,4,2010,12.506177237980511,3.5263605246161616,0,1,0,Wood
1295,50,RM,81.0,8.896861744480391,0,Lvl,Corner,OldTown,Artery,1Fam,1.5Fin,5,5,1920,Gable,None,0.0,2,Fa,BrkTil,3,1,Rec,5.8888779583328805,6.3578422665081,4,6.8679744089702925,6.660575149839686,7.462214939768189,0.0,1,0,2,5,1,4,Detchd,Unf,225.0,Fa,0.0,6,2008,11.713823407337118,4.48863636973214,1,1,0,Wood
638,20,RL,70.0,9.076923258535832,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1955,Gable,None,0.0,3,TA,CBlock,3,1,Rec,5.153291594497779,6.590301048196686,4,7.232010331664759,0.0,7.232010331664759,0.0,1,0,3,4,0,0,Attchd,Unf,350.0,TA,5.638354669333745,7,2009,11.938193200374572,4.007333185232471,0,0,0,Aesbestos
2278,20,RL,70.0,9.036344063928219,0,Lvl,Inside,Mitchel,Feedr,1Fam,1Story,5,5,2007,Gable,None,0.0,3,TA,PConc,4,1,ALQ,5.332718793265369,6.818924065275521,5,7.02197642307216,0.0,7.02197642307216,0.0,1,0,3,3,0,0,None,None,0.0,None,0.0,12,2007,11.898187865760873,0.0,1,0,0,Vinyl
2202,70,RL,63.0,8.294299608857235,0,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,8,1930,Gable,None,0.0,3,TA,BrkTil,4,1,GLQ,5.5093883366279774,5.655991810819852,3,6.342121418721152,6.2766434893416445,7.002155954403621,1.0,1,0,2,3,1,4,Detchd,Unf,216.0,TA,0.0,6,2007,11.908340237224891,4.356708826689592,0,1,0,Wood
